system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
poppler,1,['size'],1,[np.int64(0)],1.0,0.32264732795710827,1.0,max
poppler,1,['size'],2,"[np.int64(0), np.int64(15)]",0.7252,0.0419125464148225,0.7252235884331814,max
poppler,1,['size'],3,"[np.int64(0), np.int64(7), np.int64(15)]",0.5454,0.034481597299459356,0.5454373486682809,max
poppler,1,['size'],4,"[np.int64(0), np.int64(5), np.int64(8), np.int64(13)]",0.2143,0.001637134821650578,0.21428571428571427,max
poppler,1,['size'],5,"[np.int64(0), np.int64(5), np.int64(7), np.int64(9), np.int64(13)]",0.1222,0.0007099808700697788,0.12224507787246547,max
poppler,1,['size'],6,"[np.int64(0), np.int64(5), np.int64(7), np.int64(9), np.int64(12), np.int64(13)]",0.0753,0.000572230744988502,0.07528957528957529,max
poppler,1,['size'],7,"[np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(12)]",0.0319,0.0003032020177310659,0.031914893617021274,max
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",0.008,7.51783469227983e-05,0.008021390374331552,max
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",0.0058,5.005305396415247e-05,0.005791505791505791,max
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",0.0047,3.8541219333052604e-05,0.004707499355725453,max
poppler,1,['size'],11,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",0.0039,2.2167702794121164e-05,0.003907651820248016,max
poppler,1,['size'],12,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",0.0015,1.2567821280136246e-05,0.0015460430959512996,max
poppler,1,['size'],13,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(15)]",0.0005,5.336106155776274e-06,0.0005043429532081815,max
poppler,1,['size'],14,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(14), np.int64(15)]",0.0003,3.3595678873171245e-06,0.00033413525795241913,max
poppler,1,['size'],15,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",0.0003,1.6716747518931833e-06,0.00027716349697773845,max
poppler,1,['size'],16,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",0.0,0.0,0.0,max
poppler,2,"['size', 'time']",1,[np.int64(2)],1.0,0.3691206803852526,1.0,max
poppler,2,"['size', 'time']",2,"[np.int64(2), np.int64(5)]",1.0,0.3435249621319396,1.0,max
